material,id_producing_plant,cod_cliente,tipo_costo,mes,valor,year,integration_id,record_key_hash,execution_id,create_timestamp,last_updated_timestamp
BA016503,SP00,66274,ESCENARIOS,6,0,2026,BA016503~SP00~66274~ESCENARIOS~2026~6,1229b8e5f58d648994a7e1558f7a8c6c894b265f1c656400d3e79b38b41f6c1f,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA020237,SP00,66274,PRODUCTION FEE,6,1.28,2026,BA020237~SP00~66274~PRODUCTION FEE~2026~6,c912bb88b4edd0b699f042675523cc4cd1c1587b415c7b838ac2507bb7ac43c1,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA006258,SP00,2108340,PRODUCTION FEE,12,0.86,2026,BA006258~SP00~2108340~PRODUCTION FEE~2026~12,84f90f3b237ddc229fc510f9870d00d9da69eedfb7a8cda6f252cc1b819d4702,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA011264,GP00,66274,ESCENARIOS,12,0,2026,BA011264~GP00~66274~ESCENARIOS~2026~12,fb1b55d05365a2d9188b92445297131bc37b1138176d3c1d54eb3a62a5a0bfe1,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA020067,SP00,66274,STRATEGIC MATERIALS,10,0.7901973894357687,2026,BA020067~SP00~66274~STRATEGIC MATERIALS~2026~10,73a06b17fa813913b41b56a9e6446a32f3ade0aeb41fb8b933b30e84a34949f7,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
AA648081,SP00,66377,FREIGHT,7,1.0695578978572648,2026,AA648081~SP00~66377~FREIGHT~2026~7,496d43c6ec2627a7dd87baaab27f6ae076ae21a0bd1ab37ff74a631571c4db2a,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA007458,SP00,66377,PRODUCTION FEE,8,1.37,2026,BA007458~SP00~66377~PRODUCTION FEE~2026~8,af66f6c0625b14dcabebd43861ec9cdacc79db9a6a8fd3c2bc289187cc9e8fec,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA005742,SP00,2108340,PRODUCTION FEE,7,1.13,2026,BA005742~SP00~2108340~PRODUCTION FEE~2026~7,df87347f1a8a200c75edfd6029a8985cacf287fe7c9a4107fc5e3d6f24491a22,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA016866,SP00,2108340,FREIGHT,1,0.7011904761904761,2026,BA016866~SP00~2108340~FREIGHT~2026~1,270564555569dfd1b2e0de5643accd9efbaafcd76c42e81e05b5ad905b9fe26b,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA011261,GP00,66274,RAW MATERIALS,3,3.312120532178869,2026,BA011261~GP00~66274~RAW MATERIALS~2026~3,20b5a492a4d178112b73813f2659cf68d938d8eb5c63e0e74a8eb497194eb223,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
